technology,config,n,stability_mean_jaccard,not_plausible_rate_occurrence,precision_proxy_occurrence,not_plausible_rate_dedup_canon,precision_proxy_dedup_canon,produced_components_median,silver_recall_proxy,final_convergence_mean,rounds_mean,runtime_seconds
Enterprise Storage Array (SAN),d3v1v1,3,0.095864,0.000000,1.000000,0.000000,1.000000,5.000000,0.642857,0.936400,2.000000,159.875
Enterprise Storage Array (SAN),d4v1v1,4,0.115496,0.000000,1.000000,0.000000,1.000000,5.000000,0.642857,0.937600,2.200000,6194.850
Enterprise Storage Array (SAN),d5v1v1,5,0.082506,0.000000,1.000000,0.000000,1.000000,4.000000,0.714286,0.858200,2.400000,6428.935
Face Recognition Access Control System,v1v1v1,1,0.045833,0.000000,1.000000,0.000000,1.000000,5.000000,0.666667,0.879200,1.000000,56.792
Face Recognition Access Control System,d2v1v1,2,0.092289,0.000000,1.000000,0.000000,1.000000,4.000000,0.750000,0.950000,2.000000,2557.717
Face Recognition Access Control System,d3v1v1,3,0.151613,0.000000,1.000000,0.000000,1.000000,5.000000,0.583333,0.935400,2.000000,159.875
Face Recognition Access Control System,d4v1v1,4,0.103192,0.000000,1.000000,0.000000,1.000000,5.000000,0.750000,0.943400,2.600000,6194.850
Face Recognition Access Control System,d5v1v1,5,0.106632,0.041667,0.958333,0.111111,0.888889,4.000000,0.666667,0.873600,2.200000,6428.935
Fiber-Optic Communication Terminal,v1v1v1,1,0.056410,0.100000,0.900000,0.090909,0.909091,6.000000,0.769231,0.884400,1.000000,56.792
Fiber-Optic Communication Terminal,d2v1v1,2,0.077976,0.000000,1.000000,0.000000,1.000000,3.500000,0.692308,0.968750,2.000000,2557.717
Fiber-Optic Communication Terminal,d3v1v1,3,0.167677,0.000000,1.000000,0.000000,1.000000,4.500000,0.846154,1.000000,2.500000,159.875
Fiber-Optic Communication Terminal,d4v1v1,4,0.172273,0.000000,1.000000,0.000000,1.000000,5.000000,0.692308,0.885800,2.000000,6194.850
Fiber-Optic Communication Terminal,d5v1v1,5,0.252183,0.000000,1.000000,0.000000,1.000000,4.000000,0.692308,0.901400,2.200000,6428.935
Fiber-Optic Illumination System,v1v1v1,1,0.045606,0.000000,1.000000,0.000000,1.000000,5.000000,0.500000,0.873400,1.000000,56.792
Fiber-Optic Illumination System,d2v1v1,2,0.093333,0.133333,0.866667,0.142857,0.857143,3.000000,0.500000,1.000000,2.200000,2557.717
Fiber-Optic Illumination System,d3v1v1,3,0.060185,0.000000,1.000000,0.000000,1.000000,2.500000,0.357143,1.000000,2.500000,159.875
Fiber-Optic Illumination System,d4v1v1,4,0.048773,0.083333,0.916667,0.142857,0.857143,5.000000,0.500000,0.888000,2.400000,6194.850
Fiber-Optic Illumination System,d5v1v1,5,0.047500,0.041667,0.958333,0.111111,0.888889,3.000000,0.642857,0.878200,2.200000,6428.935
GPS Timing Receiver,v1v1v1,1,0.085934,0.135135,0.864865,0.000000,1.000000,6.000000,0.615385,0.886200,1.000000,56.792
GPS Timing Receiver,d2v1v1,2,0.114286,0.000000,1.000000,0.000000,1.000000,4.000000,0.615385,0.955600,2.000000,2557.717
GPS Timing Receiver,d3v1v1,3,0.167392,0.083333,0.916667,0.000000,1.000000,5.000000,0.461538,0.955600,2.000000,159.875
GPS Timing Receiver,d4v1v1,4,0.130453,0.068966,0.931034,0.000000,1.000000,5.000000,0.769231,0.818600,2.000000,6194.850
GPS Timing Receiver,d5v1v1,5,0.121407,0.040000,0.960000,0.000000,1.000000,6.000000,0.538462,0.848200,2.000000,6428.935
